id,coin_name,symbol,price,market_cap,volume,timestamp
1,Bitcoin,btc,67308,1346169836035,25873277720,"2026-03-08 13:20:19"
2,Ethereum,eth,1953.9,235829932720,10652281952,"2026-03-08 13:20:19"
3,Tether,usdt,0.999883,183950728945,41316314789,"2026-03-08 13:20:19"
4,BNB,bnb,619.92,84540082558,541436083,"2026-03-08 13:20:19"
5,XRP,xrp,1.36,83310353629,1323522324,"2026-03-08 13:20:19"
6,USDC,usdc,0.999903,77247146094,2206956189,"2026-03-08 13:20:19"
7,Solana,sol,82.89,47301817026,1958969581,"2026-03-08 13:20:19"
8,TRON,trx,0.286539,27146914168,337810670,"2026-03-08 13:20:19"
9,"Figure Heloc",figr_heloc,1.024,16030637783,156030,"2026-03-08 13:20:19"
10,Dogecoin,doge,0.089243,13681997407,609124678,"2026-03-08 13:20:19"
11,Bitcoin,btc,70245,1405410221142,56368015662,"2026-03-11 02:05:54"
12,Ethereum,eth,2044.46,246847522021,25291212042,"2026-03-11 02:05:54"
13,Tether,usdt,1,183930421538,88090357736,"2026-03-11 02:05:54"
14,BNB,bnb,643.46,87766154631,899833644,"2026-03-11 02:05:54"
15,XRP,xrp,1.39,85271313915,3328276260,"2026-03-11 02:05:54"
16,USDC,usdc,0.999894,78563106924,14310089442,"2026-03-11 02:05:54"
17,Solana,sol,86.27,49251004138,4503021957,"2026-03-11 02:05:54"
18,TRON,trx,0.285328,27032511429,392767801,"2026-03-11 02:05:54"
19,"Figure Heloc",figr_heloc,1.032,16230380474,30276550,"2026-03-11 02:05:54"
20,Dogecoin,doge,0.094626,14518655299,2122664975,"2026-03-11 02:05:54"
21,Bitcoin,btc,70243,1405006296633,56296920787,"2026-03-11 02:10:55"
22,Ethereum,eth,2043.57,246727725810,25283197997,"2026-03-11 02:10:55"
23,Tether,usdt,1,183927862927,88050247615,"2026-03-11 02:10:55"
24,BNB,bnb,643.49,87757184655,895508041,"2026-03-11 02:10:55"
25,XRP,xrp,1.39,85323521819,3236754388,"2026-03-11 02:10:55"
26,USDC,usdc,0.999914,78565626347,13314250017,"2026-03-11 02:10:55"
27,Solana,sol,86.2,49197955199,4529171170,"2026-03-11 02:10:55"
28,TRON,trx,0.285326,27033905206,394050409,"2026-03-11 02:10:55"
29,"Figure Heloc",figr_heloc,1.032,16230380474,30276550,"2026-03-11 02:10:55"
30,Dogecoin,doge,0.094723,14524017342,2125686568,"2026-03-11 02:10:55"
31,Bitcoin,btc,70268,1405119297943,56738797887,"2026-03-11 02:18:40"
32,Ethereum,eth,2043.12,246526721730,25331961216,"2026-03-11 02:18:40"
33,Tether,usdt,0.999994,183922645793,88137177268,"2026-03-11 02:18:40"
34,BNB,bnb,643.82,87776604411,908803075,"2026-03-11 02:18:40"
35,XRP,xrp,1.39,85221619749,3340089178,"2026-03-11 02:18:40"
36,USDC,usdc,0.999904,78561501446,6517921632,"2026-03-11 02:18:40"
37,Solana,sol,86.16,49168214783,4516939950,"2026-03-11 02:18:40"
38,TRON,trx,0.285244,27024213728,396122705,"2026-03-11 02:18:40"
39,"Figure Heloc",figr_heloc,1.032,16230380474,30276550,"2026-03-11 02:18:40"
40,Dogecoin,doge,0.094743,14528196506,2067508204,"2026-03-11 02:18:40"
